"Data Source","World Development Indicators",

"Last Updated Date","2023-07-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10894252.3","6154687.8","8030776.5","10739033.8","10431611.1","10326866.7","14850800.8","25088493.4","42203307.6","56555850.6","60167162.6","63637789.7","63291845.8","55563662.9","45887311.7","26106304.5","",
"Africa Western and Central","AFW","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","265880178.7","325934344.9","388320412.6","245467718.4","154548945.3","259132717.8","467577491.6","996248887.7","1010884498.9","1532043553.4","1442655895.2","1720893709.4","2239066883.9","1450100926.4","1488737668.4","1885180263.9","2614479250.7","4429036868.6","4495341012.8","1634736351.4","4031638044.5","2961607175.2","3921535532.4","6055007325.4","5868273621.8","8328257346.1","8644239960.2","10972713279.8","9180831554","11046328784.1","11891218931.9","8533498747.9","11348241696.3","",
"Albania","ALB","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3568063.5","2020816.9","8070724.6","18281577.8","10417322.5","21276983.2","24143042.3","21425200.3","25623352.8","30021420.6","39590793.5","60804903.3","57279766.9","76021667","104901870.1","181184491.9","175635399.6","252899351.7","244199014.7","380521784.7","482510828.6","542548906.9","550331877.1","732660493.9","1179900721.4","590406592","513040675.9","1085779158.2","639459668.6","1143140604","884162157.7","",
"Andorra","AND","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","1118123169.7","1078263471.6","1140313787.2","1389252864.9","1663056502.6","1620914086.5","1637161445.4","1871720429.8","3333144093.8","2281740750.2","4260979181.2","5411998889.5","4894453608.3","6824734770.9","6303568135.6","6231161855.8","7349851839.4","6265276902.6","5055488201.3","4386859950.1","6184791273.6","5449279126.8","4914055247","5872301888.9","5783538649.1","8889250255.5","12963794087","16119704830.6","19369186342.6","25310657084.8","24849687713.5","18084634014.4","5326706918.3","14336213571.3","12902482290","10099804137.2","18973957937","8810729117.3","9593489172.5","14792600832.4","15638962665.1","15788530471.2","13586606977.8","15772427855.2","17022961280.9","17902687669.6","25920010650.2","40445152523","43001851186.3","43865206118","29410909701.9","25916580578.3","",
